Travel ID,Card Type,Weekday,Date,Departure City,Departure,Check-out,Arrival City,Destination,Type,Product
1026,Personal,7,2021-12-04,Amsterdam,Station Noord,17:31,Amsterdam,Hilversumstraat,Bus,Reizen op Rekening Bus Tram Metro
1029,Personal,1,2021-12-05,Amsterdam,Amsterdam Centraal,12:54,Den Haag,Den Haag Laan Van NOI,Train,Reizen op Rekening Trein
1027,Personal,1,2021-12-05,Amsterdam,Hilversumstraat,11:40,Amsterdam,Station Noord,Bus,Reizen op Rekening Bus Tram Metro
1028,Personal,1,2021-12-05,Amsterdam,Noord,11:49,Amsterdam,Centraal Station,Metro,Reizen op Rekening Bus Tram Metro
186,Student,2,2021-12-06,Utrecht,Utrecht Centraal,16:27,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
184,Student,2,2021-12-06,Utrecht,Utrecht CS Centrumzijde,8:19,Utrecht,Utrecht Padualaan,Tram,Student Week Vrij (2e klas)
185,Student,2,2021-12-06,Utrecht,Utrecht Padualaan,15:26,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
183,Student,2,2021-12-06,Voorburg,Voorburg,8:05,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
189,Student,3,2021-12-07,Utrecht,Station Overvecht (Perron D),12:04,Utrecht,Utrecht Botanische Tuinen,Bus,Student Week Vrij (2e klas)
191,Student,3,2021-12-07,Utrecht,Utrecht Centraal,16:11,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
190,Student,3,2021-12-07,Utrecht,Utrecht Padualaan,15:18,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
188,Student,3,2021-12-07,Utrecht,Utrecht Sint Jacobsstraat,9:50,Utrecht,Zamenhofdreef (Perron B),Bus,Student Week Vrij (2e klas)
187,Student,3,2021-12-07,Voorburg,Voorburg,9:19,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
195,Student,4,2021-12-08,Utrecht,Utrecht Centraal,16:11,Voorburg,Voorburg,Train,Student Week Vrij (2e klas)
193,Student,4,2021-12-08,Utrecht,Utrecht CS Centrumzijde,8:21,Utrecht,Utrecht Heidelberglaan,Tram,Student Week Vrij (2e klas)
194,Student,4,2021-12-08,Utrecht,Utrecht Padualaan,15:22,Utrecht,Utrecht CS Centrumzijde,Tram,Student Week Vrij (2e klas)
192,Student,4,2021-12-08,Voorburg,Voorburg,8:03,Utrecht,Utrecht Centraal,Train,Student Week Vrij (2e klas)
1030,Personal,7,2021-12-11,Den Haag,Den Haag Laan Van NOI,10:05,Rotterdam,Rotterdam Centraal,Train,Reizen op Rekening Trein
